Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
International House Roast Coffee,,,,0,0,0,0,0,0,0,0,0,0
International House Roast Decaf Coffee,,,,0,0,0,0,0,0,0,0,0,0
Vanilla Cold Foam Cold Brew,,,473,160,1,1,0,5,60,34,0,33,4
Vanilla Cold Foam Cold Brew,,,887,190,1,1,0,5,65,40,0,40,4
Freshly Brewed Iced Tea (Large),,,,5,0,0,0,0,10,2,0,0,0
Freshly Brewed Iced Tea (X-Large),,,,10,0,0,0,0,15,2,0,0,0
Hot Tea - Decaf,,,,0,0,0,0,0,5,1,0,0,0
Hot Tea - English Breakfast,,,,0,0,0,0,0,5,1,0,0,0
Hot Tea - Golden Chamomile,,,,0,0,0,0,0,0,0,0,0,0
Hot Tea - Green,,,,0,0,0,0,0,0,0,0,0,1
Lemonade Iced Tea (Large),,,,70,0,0,0,0,35,19,0,18,0
Lemonade Iced Tea (X-Large),,,,130,0,0,0,0,65,34,0,31,0
Mango Iced Tea (Large),,,,60,0,0,0,0,15,16,0,14,0
Mango Iced Tea (X-Large),,,,90,0,0,0,0,20,23,0,21,0
Strawberry Iced Tea (Large),,,,60,0,0,0,0,10,15,0,14,0
Strawberry Iced Tea (X-Large),,,,90,0,0,0,0,15,22,0,20,0
Sweeter Tea (Large),,,,210,0,0,0,0,10,54,0,52,0
Sweeter Tea (X-Large),,,,370,0,0,0,0,20,96,0,93,0
Sweet Tea (Large),,,,170,0,0,0,0,10,44,0,43,0
Sweet Tea (X-Large),,,,300,0,0,0,0,20,79,0,77,0
Hot Chocolate (Large),,,,300,8,6,0,10,440,56,1,49,2
Hot Chocolate (Regular),,,,120,3,2.5,0,5,190,24,0,21,1
Apple Juice (Large),,,,180,0,0,0,0,25,44,0,40,0
Apple Juice (Regular),,,,110,0,0,0,0,15,27,0,24,0
Cranberry Juice (Large),,,,190,0,0,0,0,15,51,0,46,0
Cranberry Juice (Regular),,,,120,0,0,0,0,10,31,0,28,0
Orange Juice (Large),,,,190,0,0,0,0,20,48,1,47,2
Orange Juice (Regular),,,,120,0,0,0,0,10,29,0,29,1
Tomato Juice (Large),,,,80,0,0,0,0,1220,16,2,7,2
Tomato Juice (Regular),,,,50,0,0,0,0,740,9,3,11,4
Lemonade (Large),,,,140,0,0,0,0,65,36,0,34,0
Lemonade (X-Large),,,,250,0,0,0,0,115,64,0,62,0
Mango Lemonade (Large),,,,200,0,0,0,0,70,51,0,49,0
Mango Lemonade (X-Large),,,,260,0,0,0,0,85,65,0,63,0
Strawberry Lemonade (Large),,,,200,0,0,0,0,65,50,0,48,0
Strawberry Lemonade (X-Large),,,,250,0,0,0,0,80,64,0,62,0
1% Milk (Large),,,,180,4,2.5,0,20,190,21,0,21,14
